iter	Passed	Remaining
706	65740	177228
707	65844	177166
708	65955	177121
709	66060	177059
710	66171	177014
711	66277	176955
712	66278	176618
713	66385	176564
714	66490	176503
715	66597	176446
716	66702	176385
717	66811	176335
718	66919	176279
719	67020	176208
720	67126	176148
721	67229	176081
722	67283	175886
723	67388	175823
724	67494	175766
725	67601	175706
726	67705	175643
727	67817	175599
728	67923	175538
729	68030	175482
730	68134	175415
731	68242	175360
732	68344	175289
733	68454	175239
734	68461	174926
735	68565	174859
736	68574	174552
737	68576	174228
738	68679	174160
739	68783	174097
740	68789	173782
741	68897	173729
742	69002	173668
743	69110	173611
744	69214	173546
745	69324	173497
746	69428	173431
747	69536	173377
748	69644	173320
749	69753	173267
750	69861	173211
751	69968	173152
752	70078	173102
753	70185	173043
754	70289	172976
755	70394	172913
756	70501	172854
757	70608	172794
758	70716	172737
759	70745	172489
760	70847	172416
761	70955	172360
762	71058	172292
763	71163	172227
764	71271	172169
765	71376	172104
766	71489	172059
767	71593	171992
768	71700	171931
769	71805	171866
770	71911	171803
771	72016	171738
772	72122	171676
773	72230	171618
774	72334	171548
775	72442	171489
776	72544	171417
777	72650	171354
778	72751	171279
779	72855	171210
780	72858	170906
781	72960	170831
782	73069	170776
783	73186	170736
784	73294	170678
785	73403	170620
786	73507	170551
787	73612	170486
788	73718	170421
789	73828	170365
790	73932	170297
791	74037	170231
792	74147	170173
793	74251	170105
794	74262	169821
795	74375	169773
796	74479	169705
797	74588	169647
798	74693	169579
799	74801	169518
800	74907	169453
801	75011	169384
802	75128	169343
803	75233	169274
804	75340	169212
805	75342	168913
806	75448	168848
807	75560	168794
808	75567	168509
809	75669	168433
810	75782	168385
811	75885	168312
812	75993	168250
813	76093	168171
814	76204	168117
815	76306	168043
816	76315	167763
817	76369	167583
818	76476	167520
819	76586	167463
820	76693	167400
821	76799	167332
822	76904	167264
823	77010	167198
824	77111	167121
825	77223	167068
826	77231	166790
827	77335	166720
828	77446	166663
829	77461	166401
830	77569	166341
831	77678	166281
832	77784	166215
833	77894	166156
834	78000	166089
835	78106	166023
836	78213	165959
837	78319	165892
838	78427	165829
839	78529	165753
840	78635	165685
841	78741	165618
842	78847	165551
843	78953	165484
844	79061	165420
845	79168	165355
846	79275	165288
847	79380	165220
848	79384	164939
849	79488	164869
850	79595	164803
851	79699	164731
852	79808	164668
853	79913	164599
854	80019	164531
855	80130	164474
856	80235	164403
857	80342	164337
858	80449	164270
859	80555	164201
860	80658	164128
861	80666	163860
862	80768	163782
863	80875	163716
864	80983	163652
865	81092	163590
866	81196	163517
867	81303	163449
868	81303	163169
869	81407	163094
870	81513	163027
871	81620	162960
872	81724	162886
873	81832	162822
874	81940	162756
875	82046	162688
876	82063	162441
877	82166	162367
878	82272	162299
879	82378	162228
880	82485	162161
881	82593	162096
882	82645	161922
883	82752	161854
884	82855	161779
885	82962	161711
886	82968	161447
887	83070	161369
888	83174	161296
889	83284	161235
890	83387	161160
891	83397	160904
892	83503	160835
893	83606	160761
894	83716	160697
895	83730	160452
896	83838	160386
897	83950	160327
898	84054	160254
899	84107	160083
900	84216	160020
901	84322	159951
902	84428	159880
903	84535	159813
904	84639	159739
905	84748	159675
906	84856	159608
907	84960	159533
908	85075	159481
909	85182	159413
910	85292	159349
911	85400	159283
912	85506	159211
913	85609	159135
914	85717	159068
915	85825	159001
916	85931	158931
917	86037	158860
918	86144	158791
919	86255	158728
920	86360	158654
921	86463	158579
922	86570	158510
923	86677	158439
924	86779	158361
925	86785	158106
926	86894	158040
927	87003	157975
928	87108	157902
929	87214	157830
930	87267	157661
931	87382	157607
932	87485	157529
933	87589	157454
934	87691	157375
935	87798	157305
936	87904	157234
937	88008	157158
938	88113	157083
939	88116	156828
940	88224	156760
941	88329	156686
942	88382	156521
943	88487	156445
944	88588	156366
945	88689	156285
946	88795	156211
947	88901	156140
948	89004	156063
949	89106	155983
950	89209	155904
951	89319	155839
952	89423	155763
953	89528	155690
954	89631	155611
955	89732	155530
956	89838	155457
957	89939	155375
958	89944	155127
959	90051	155056
960	90152	154976
961	90259	154905
962	90360	154822
963	90464	154747
964	90519	154586
965	90622	154508
966	90649	154301
967	90759	154234
968	90866	154163
969	90978	154101
970	91080	154020
971	91186	153947
972	91286	153864
973	91395	153795
974	91495	153712
975	91601	153639
976	91707	153565
977	91812	153490
978	91918	153415
979	92032	153356
980	92138	153282
981	92140	153035
982	92240	152952
983	92349	152882
984	92449	152799
985	92557	152729
986	92660	152650
987	92767	152578
988	92872	152502
989	92977	152426
990	93078	152344
991	93192	152283
992	93296	152205
993	93402	152131
994	93511	152061
995	93610	151976
996	93716	151902
997	93818	151820
998	93922	151742
999	93925	151501
1000	94028	151422
1001	94135	151349
1002	94240	151273
1003	94345	151197
1004	94454	151127
1005	94559	151050
1006	94664	150974
1007	94765	150891
1008	94873	150819
1009	94976	150739
1010	95081	150663
1011	95184	150582
1012	95288	150505
1013	95397	150434
1014	95508	150367
1015	95616	150295
1016	95720	150216
1017	95826	150140
1018	95852	149939
1019	95954	149858
1020	96060	149782
1021	96162	149701
1022	96268	149625
1023	96273	149393
1024	96375	149311
1025	96486	149243
1026	96603	149185
1027	96618	148969
1028	96722	148890
1029	96827	148812
1030	96937	148743
1031	97042	148667
1032	97149	148593
1033	97257	148519
1034	97368	148452
1035	97474	148375
1036	97583	148303
1037	97691	148232
1038	97803	148164
1039	97914	148096
1040	98018	148017
1041	98122	147937
1042	98229	147861
1043	98338	147789
1044	98445	147715
1045	98554	147642
1046	98660	147566
1047	98768	147493
1048	98882	147428
1049	98939	147279
1050	99049	147208
1051	99153	147127
1052	99257	147048
1053	99270	146834
1054	99373	146752
1055	99375	146521
1056	99482	146447
1057	99586	146368
1058	99694	146293
1059	99801	146218
1060	99907	146142
1061	100010	146060
1062	100130	146004
1063	100239	145930
1064	100341	145849
1065	100452	145779
1066	100556	145698
1067	100666	145626
1068	100768	145544
1069	100872	145464
1070	100975	145382
1071	101078	145299
1072	101186	145225
1073	101291	145147
1074	101401	145074
1075	101450	144915
1076	101558	144841
1077	101664	144763
1078	101767	144681
1079	101876	144607
1080	101979	144526
1081	102085	144448
1082	102192	144371
1083	102300	144296
1084	102407	144219
1085	102508	144135
1086	102623	144069
1087	102728	143989
1088	102833	143909
1089	102937	143829
1090	103043	143750
1091	103147	143670
1092	103250	143587
1093	103356	143508
1094	103459	143426
1095	103574	143360
1096	103682	143284
1097	103790	143208
1098	103893	143124
1099	103995	143041
1100	104098	142957
1101	104200	142874
1102	104304	142791
1103	104409	142711
1104	104516	142633
1105	104624	142558
1106	104731	142480
1107	104833	142395
1108	104859	142208
1109	104961	142124
1110	105067	142044
1111	105171	141963
1112	105273	141877
1113	105377	141795
1114	105484	141717
1115	105588	141636
1116	105691	141553
1117	105794	141468
1118	105902	141392
1119	106007	141311
1120	106113	141231
1121	106216	141148
1122	106320	141066
1123	106425	140985
1124	106529	140903
1125	106632	140818
1126	106737	140738
1127	106745	140529
1128	106847	140444
1129	106961	140374
1130	106965	140161
1131	107067	140076
1132	107170	139993
1133	107273	139909
1134	107378	139828
1135	107481	139744
1136	107584	139661
1137	107585	139445
1138	107686	139358
1139	107791	139278
1140	107892	139191
1141	107994	139106
1142	108098	139024
1143	108199	138937
1144	108310	138864
1145	108413	138781
1146	108521	138702
1147	108625	138620
1148	108728	138537
1149	108830	138450
1150	108935	138369
1151	109041	138289
1152	109145	138206
1153	109251	138126
1154	109352	138039
1155	109460	137962
1156	109564	137879
1157	109674	137803
1158	109779	137721
1159	109884	137640
1160	109984	137551
1161	110088	137468
1162	110193	137386
1163	110297	137302
1164	110402	137221
1165	110509	137141
1166	110618	137064
1167	110719	136977
1168	110829	136901
1169	110931	136815
1170	111034	136731
1171	111140	136650
1172	111245	136567
1173	111296	136418
1174	111398	136333
1175	111503	136250
1176	111605	136164
1177	111709	136080
1178	111814	135998
1179	111920	135916
1180	112025	135834
1181	112027	135626
1182	112129	135541
1183	112236	135460
1184	112333	135369
1185	112440	135289
1186	112543	135204
1187	112649	135122
1188	112751	135035
1189	112861	134959
1190	112968	134879
1191	113070	134793
1192	113174	134709
1193	113277	134623
1194	113383	134542
1195	113385	134337
1196	113487	134251
1197	113594	134170
1198	113693	134080
1199	113799	133998
1200	113903	133915
1201	114008	133832
1202	114117	133753
1203	114220	133667
1204	114325	133585
1205	114428	133499
1206	114532	133415
1207	114634	133329
1208	114739	133246
1209	114844	133162
1210	114946	133076
1211	115053	132995
1212	115156	132909
1213	115262	132826
1214	115365	132741
1215	115470	132658
1216	115572	132571
1217	115680	132491
1218	115783	132405
1219	115890	132324
1220	115995	132241
1221	116099	132155
1222	116204	132072
1223	116306	131984
1224	116419	131910
1225	116518	131820
1226	116620	131732
1227	116725	131649
1228	116829	131564
1229	116938	131484
1230	117045	131402
1231	117154	131323
1232	117255	131234
1233	117359	131149
1234	117460	131061
1235	117564	130975
1236	117671	130893
1237	117775	130808
1238	117878	130722
1239	117979	130634
1240	118087	130552
1241	118192	130468
1242	118296	130383
1243	118400	130297
1244	118501	130208
1245	118605	130123
1246	118708	130036
1247	118758	129892
1248	118867	129811
1249	118868	129614
1250	118969	129526
1251	119077	129444
1252	119179	129356
1253	119283	129271
1254	119387	129185
1255	119495	129104
1256	119598	129018
1257	119704	128934
1258	119808	128849
1259	119924	128776
1260	120044	128707
1261	120151	128625
1262	120256	128540
1263	120359	128453
1264	120463	128367
1265	120567	128281
1266	120671	128195
1267	120776	128111
1268	120881	128025
1269	120987	127941
1270	121088	127853
1271	121193	127767
1272	121293	127677
1273	121401	127595
1274	121507	127511
1275	121611	127425
1276	121719	127342
1277	121820	127253
1278	121926	127169
1279	122028	127081
1280	122130	126992
1281	122236	126908
1282	122339	126820
1283	122444	126735
1284	122550	126651
1285	122656	126567
1286	122760	126480
1287	122866	126395
1288	122969	126308
1289	123072	126220
1290	123175	126133
1291	123280	126047
1292	123384	125960
1293	123486	125872
1294	123591	125786
1295	123693	125698
1296	123796	125610
1297	123901	125524
1298	124004	125436
1299	124114	125355
1300	124216	125266
1301	124323	125182
1302	124424	125093
1303	124527	125004
1304	124628	124914
1305	124734	124830
1306	124838	124742
1307	124940	124653
1308	125052	124575
1309	125156	124487
1310	125258	124399
1311	125363	124312
1312	125467	124225
1313	125573	124140
1314	125678	124053
1315	125788	123972
1316	125894	123887
1317	126001	123803
1318	126109	123719
1319	126212	123631
1320	126316	123543
1321	126420	123455
1322	126529	123373
1323	126630	123283
1324	126738	123199
1325	126745	123017
1326	126843	122924
1327	126953	122842
1328	127058	122756
1329	127160	122667
1330	127266	122581
1331	127373	122496
1332	127481	122412
